Country,Region,Date,Month,Sex,Age,AgeInt,Cases,Deaths
Germany,All,3/1/2020,March,b,  0,10,7.3,0
Germany,All,3/1/2020,March,b, 10,10,10.1,0
Germany,All,3/1/2020,March,b, 20,10,35.4,0
Germany,All,3/1/2020,March,b, 30,10,44.4,0
Germany,All,3/1/2020,March,b, 40,10,25.8,0
Germany,All,3/1/2020,March,b, 50,10,19,0
Germany,All,3/1/2020,March,b, 60,10,10,0
Germany,All,3/1/2020,March,b, 70,10,4,0
Germany,All,3/1/2020,March,b, 80,10,0,0
Germany,All,3/1/2020,March,b, 90,10,0,0
Germany,All,3/1/2020,March,b,100,5,0,0
Germany,All,3/2/2020,March,b,  0,10,7.2,0
Germany,All,3/2/2020,March,b, 10,10,11.4,0
Germany,All,3/2/2020,March,b, 20,10,43.2,0
Germany,All,3/2/2020,March,b, 30,10,54.7,0
Germany,All,3/2/2020,March,b, 40,10,31.8,0
Germany,All,3/2/2020,March,b, 50,10,25.6,0
Germany,All,3/2/2020,March,b, 60,10,15.5,0
Germany,All,3/2/2020,March,b, 70,10,6.5,0
Germany,All,3/2/2020,March,b, 80,10,.8,0
Germany,All,3/2/2020,March,b, 90,10,.2,0
Germany,All,3/2/2020,March,b,100,5,0,0
Germany,All,3/3/2020,March,b,  0,10,10.1,0
Germany,All,3/3/2020,March,b, 10,10,19.7,0
Germany,All,3/3/2020,March,b, 20,10,55.9,0
Germany,All,3/3/2020,March,b, 30,10,68.9,0
Germany,All,3/3/2020,March,b, 40,10,45.3,0
Germany,All,3/3/2020,March,b, 50,10,43.2,0
Germany,All,3/3/2020,March,b, 60,10,27.7,0
Germany,All,3/3/2020,March,b, 70,10,10.3,0
Germany,All,3/3/2020,March,b, 80,10,.9,0
Germany,All,3/3/2020,March,b, 90,10,.1,0
Germany,All,3/3/2020,March,b,100,5,0,0
Germany,All,3/4/2020,March,b,  0,10,11.1,0
Germany,All,3/4/2020,March,b, 10,10,26.2,0
Germany,All,3/4/2020,March,b, 20,10,83.5,0
Germany,All,3/4/2020,March,b, 30,10,115.2,0
Germany,All,3/4/2020,March,b, 40,10,77.4,0
Germany,All,3/4/2020,March,b, 50,10,66.5,0
Germany,All,3/4/2020,March,b, 60,10,36.5,0.1
Germany,All,3/4/2020,March,b, 70,10,14.5,0.9
Germany,All,3/4/2020,March,b, 80,10,4.3,0.3
Germany,All,3/4/2020,March,b, 90,10,.7,0.6
Germany,All,3/4/2020,March,b,100,5,0,0
Germany,All,3/5/2020,March,b,  0,10,16.9,0
Germany,All,3/5/2020,March,b, 10,10,33.8,0
Germany,All,3/5/2020,March,b, 20,10,115,0
Germany,All,3/5/2020,March,b, 30,10,169.3,0
Germany,All,3/5/2020,March,b, 40,10,114.7,0
Germany,All,3/5/2020,March,b, 50,10,95.3,0
Germany,All,3/5/2020,March,b, 60,10,49.3,0.1
Germany,All,3/5/2020,March,b, 70,10,18.7,0.9
Germany,All,3/5/2020,March,b, 80,10,6,0.6
Germany,All,3/5/2020,March,b, 90,10,1,1.3
Germany,All,3/5/2020,March,b,100,5,0,0
Germany,All,3/6/2020,March,b,  0,10,21.5,0
Germany,All,3/6/2020,March,b, 10,10,41.1,0
Germany,All,3/6/2020,March,b, 20,10,131,0
Germany,All,3/6/2020,March,b, 30,10,205.7,0
Germany,All,3/6/2020,March,b, 40,10,155.5,0
Germany,All,3/6/2020,March,b, 50,10,137.3,0
Germany,All,3/6/2020,March,b, 60,10,71.3,0.4
Germany,All,3/6/2020,March,b, 70,10,28.7,1.6
Germany,All,3/6/2020,March,b, 80,10,11.8,2.3
Germany,All,3/6/2020,March,b, 90,10,2.2,2.7
Germany,All,3/6/2020,March,b,100,5,0,0.1
Germany,All,3/7/2020,March,b,  0,10,23.8,0
Germany,All,3/7/2020,March,b, 10,10,49.9,0
Germany,All,3/7/2020,March,b, 20,10,149.6,0
Germany,All,3/7/2020,March,b, 30,10,230.4,0
Germany,All,3/7/2020,March,b, 40,10,180.6,0
Germany,All,3/7/2020,March,b, 50,10,169.7,0
Germany,All,3/7/2020,March,b, 60,10,91.4,1.4
Germany,All,3/7/2020,March,b, 70,10,35.6,3.6
Germany,All,3/7/2020,March,b, 80,10,13.7,3.6
Germany,All,3/7/2020,March,b, 90,10,2.3,2.4
Germany,All,3/7/2020,March,b,100,5,0,0
Germany,All,3/8/2020,March,b,  0,10,28.1,0
Germany,All,3/8/2020,March,b, 10,10,55.7,0
Germany,All,3/8/2020,March,b, 20,10,159.9,0
Germany,All,3/8/2020,March,b, 30,10,252.8,0
Germany,All,3/8/2020,March,b, 40,10,206.1,0.2
Germany,All,3/8/2020,March,b, 50,10,191.5,0.7
Germany,All,3/8/2020,March,b, 60,10,98.2,1.7
Germany,All,3/8/2020,March,b, 70,10,37.8,3.3
Germany,All,3/8/2020,March,b, 80,10,15.3,3.7
Germany,All,3/8/2020,March,b, 90,10,2.7,2.3
Germany,All,3/8/2020,March,b,100,5,0,0
Germany,All,3/9/2020,March,b,  0,10,36,0
Germany,All,3/9/2020,March,b, 10,10,72.7,0
