Age Group,Date,Cases,Cases_sum,IFR
0-20,2020-03-01,17.4,156,11.15384615
21-40,2020-03-01,79.8,156,51.15384615
41-60,2020-03-01,44.8,156,28.71794872
61-80,2020-03-01,14,156,8.974358974
80+,2020-03-01,0,156,0
0-20,2020-03-02,18.6,196.9,9.446419502
21-40,2020-03-02,97.9,196.9,49.72067039
41-60,2020-03-02,57.4,196.9,29.15185373
61-80,2020-03-02,22,196.9,11.17318436
80+,2020-03-02,1,196.9,0.507872016
0-20,2020-03-03,29.8,282.1,10.56362992
21-40,2020-03-03,124.8,282.1,44.23963134
41-60,2020-03-03,88.5,282.1,31.37185395
61-80,2020-03-03,38,282.1,13.47040057
80+,2020-03-03,1,282.1,0.354484225
0-20,2020-03-04,37.3,435.9,8.557008488
21-40,2020-03-04,198.7,435.9,45.58384951
41-60,2020-03-04,143.9,435.9,33.01215875
61-80,2020-03-04,51,435.9,11.69993118
80+,2020-03-04,5,435.9,1.147052076
0-20,2020-03-05,50.7,620,8.177419355
21-40,2020-03-05,284.3,620,45.85483871
41-60,2020-03-05,210,620,33.87096774
61-80,2020-03-05,68,620,10.96774194
80+,2020-03-05,7,620,1.129032258
0-20,2020-03-06,62.6,806.1,7.765785883
21-40,2020-03-06,336.7,806.1,41.76901129
41-60,2020-03-06,292.8,806.1,36.32303684
61-80,2020-03-06,100,806.1,12.40540876
80+,2020-03-06,14,806.1,1.736757226
0-20,2020-03-07,73.7,947,7.782470961
21-40,2020-03-07,380,947,40.12671595
41-60,2020-03-07,350.3,947,36.9904963
61-80,2020-03-07,127,947,13.41077086
80+,2020-03-07,16,947,1.689545935
0-20,2020-03-08,83.8,1048.1,7.995420284
21-40,2020-03-08,412.7,1048.1,39.37601374
41-60,2020-03-08,397.6,1048.1,37.93531152
61-80,2020-03-08,136,1048.1,12.97586108
80+,2020-03-08,18,1048.1,1.717393378
0-20,2020-03-09,108.7,1395,7.792114695
21-40,2020-03-09,533.6,1395,38.25089606
41-60,2020-03-09,548.8,1395,39.34050179
61-80,2020-03-09,178,1395,12.75985663
80+,2020-03-09,25.9,1395,1.856630824
0-20,2020-03-10,150.1,1996,7.52004008
21-40,2020-03-10,728.1,1996,36.47795591
41-60,2020-03-10,798.8,1996,40.02004008
61-80,2020-03-10,279,1996,13.97795591
80+,2020-03-10,40,1996,2.004008016
0-20,2020-03-11,206.8,2752.9,7.512078172
21-40,2020-03-11,966,2752.9,35.09026844
41-60,2020-03-11,1111.1,2752.9,40.36107378
61-80,2020-03-11,418,2752.9,15.18398779
80+,2020-03-11,51,2752.9,1.852591812
0-20,2020-03-12,243.5,3745.1,6.501829057
21-40,2020-03-12,1281.6,3745.1,34.22071507
41-60,2020-03-12,1592.9,3745.1,42.53290967
61-80,2020-03-12,560,3745.1,14.95287175
80+,2020-03-12,67.1,3745.1,1.791674455
0-20,2020-03-13,324,5194.1,6.237846788
