Week,CFR
1,2.33012056018447
2,2.1916502219751
3,2.50070349053184
4,2.0656870050213
5,2.25256155318868
6,2.60755784083228
7,3.32016989160039
8,3.45060788286159
9,3.51594206725962
10,3.84370153016874
11,4.24169180762371
12,4.85892894562136
13,5.80707720516856
14,6.49183010829679
15,7.15164731397684
16,7.24255024188931
17,7.13165422387992
18,6.93762549028954
19,6.69168762162597
20,6.3667738139954
21,6.03623112481148
22,5.74430328988762
23,5.47241299410988
24,5.20947332653749
25,4.93532191016616
