Country,Date,Gender,Age_Group,Cases,Deaths,CFR,Dates
Spain,1/4/2020,b,0,398.4,0,0,34
Spain,1/4/2020,b,10,691.6,2.3,0.332562175,4/1/2020
Spain,1/4/2020,b,20,5720.9,13.8,0.241220787,4/1/2020
Spain,1/4/2020,b,30,10920.7,41.3,0.378180886,4/1/2020
Spain,1/4/2020,b,40,16813.7,112.4,0.668502471,4/1/2020
Spain,1/4/2020,b,50,20273.3,300.5,1.48224512,4/1/2020
Spain,1/4/2020,b,60,18576.2,855.6,4.605893563,4/1/2020
Spain,1/4/2020,b,70,18115.6,2697.4,14.88992912,4/1/2020
Spain,1/4/2020,b,80,14114.2,4309.9,30.53591419,4/1/2020
Spain,1/4/2020,b,90,4450.9,1609.9,36.17021277,4/1/2020
Spain,1/4/2020,b,100,162.4,59.9,36.88423645,4/1/2020
Spain,1/5/2020,b,0,718.6,3,0.41747843,5/1/2020
Spain,1/5/2020,b,10,1306.7,7.5,0.57396495,5/1/2020
Spain,1/5/2020,b,20,11887.5,33,0.277602524,5/1/2020
Spain,1/5/2020,b,30,20153.6,84,0.416798984,5/1/2020
Spain,1/5/2020,b,40,31455,262.4,0.834207598,5/1/2020
Spain,1/5/2020,b,50,38667.2,791.6,2.047213142,5/1/2020
Spain,1/5/2020,b,60,31829.1,2190.5,6.882067039,5/1/2020
Spain,1/5/2020,b,70,30771.1,6247.6,20.30346656,5/1/2020
Spain,1/5/2020,b,80,33991.9,10414.2,30.63729889,5/1/2020
Spain,1/5/2020,b,90,15078.9,4834.2,32.05936773,5/1/2020
Spain,1/5/2020,b,100,722.5,232,32.11072664,5/1/2020
Spain,2/4/2020,b,0,418,0,0,4/2/2020
Spain,2/4/2020,b,10,741.1,2.4,0.323842936,4/2/2020
Spain,2/4/2020,b,20,6098.3,14.4,0.236131381,4/2/2020
Spain,2/4/2020,b,30,11652.1,45.7,0.39220398,4/2/2020
Spain,2/4/2020,b,40,17917,115.5,0.64463917,4/2/2020
Spain,2/4/2020,b,50,21625.6,320.1,1.480190145,4/2/2020
Spain,2/4/2020,b,60,19862,931.5,4.689860034,4/2/2020
Spain,2/4/2020,b,70,19367.4,2979.9,15.38616438,4/2/2020
Spain,2/4/2020,b,80,15094.3,4681.6,31.01568142,4/2/2020
Spain,2/4/2020,b,90,4760.6,1775.5,37.29571903,4/2/2020
Spain,2/4/2020,b,100,173.7,68.3,39.32066782,4/2/2020
Spain,2/5/2020,b,0,731.4,2.9,0.396499863,5/2/2020
Spain,2/5/2020,b,10,1317.5,7.4,0.561669829,5/2/2020
Spain,2/5/2020,b,20,12018.7,32.4,0.269579905,5/2/2020
Spain,2/5/2020,b,30,20301.9,84,0.413754378,5/2/2020
Spain,2/5/2020,b,40,31617.5,268.3,0.848580691,5/2/2020
Spain,2/5/2020,b,50,38776.9,831.4,2.144059994,5/2/2020
Spain,2/5/2020,b,60,31853.6,2233.2,7.010824522,5/2/2020
Spain,2/5/2020,b,70,30745.9,6263.3,20.37117144,5/2/2020
Spain,2/5/2020,b,80,34135.5,10423.1,30.53448756,5/2/2020
Spain,2/5/2020,b,90,15233.6,4880.8,32.03970171,5/2/2020
Spain,2/5/2020,b,100,733.5,237.1,32.32447171,5/2/2020
Spain,3/4/2020,b,0,442.9,2.5,0.564461504,4/3/2020
Spain,3/4/2020,b,10,785.3,2.5,0.318349675,4/3/2020
Spain,3/4/2020,b,20,6462.3,15,0.232115501,4/3/2020
Spain,3/4/2020,b,30,12347.6,47.4,0.383880268,4/3/2020
Spain,3/4/2020,b,40,18986.4,124.7,0.65678591,4/3/2020
Spain,3/4/2020,b,50,22916.4,346.7,1.512890332,4/3/2020
Spain,3/4/2020,b,60,21047.6,1000.1,4.751610635,4/3/2020
Spain,3/4/2020,b,70,20523.5,3199.7,15.59042074,4/3/2020
Spain,3/4/2020,b,80,15995.2,5022.8,31.40192058,4/3/2020
Spain,3/4/2020,b,90,5044.8,1909,37.84094513,4/3/2020
Spain,3/4/2020,b,100,184,73.7,40.05434783,4/3/2020
Spain,3/5/2020,b,0,734.9,3,0.408218805,5/3/2020
Spain,3/5/2020,b,10,1325.1,7.4,0.558448419,5/3/2020
Spain,3/5/2020,b,20,12086.5,32.6,0.269722418,5/3/2020
Spain,3/5/2020,b,30,20420.9,84.4,0.413302058,5/3/2020
Spain,3/5/2020,b,40,31738.3,270.9,0.85354288,5/3/2020
Spain,3/5/2020,b,50,38927.7,837.8,2.152194967,5/3/2020
Spain,3/5/2020,b,60,31937.4,2247,7.035638468,5/3/2020
Spain,3/5/2020,b,70,30747,6305.9,20.50899275,5/3/2020
Spain,3/5/2020,b,80,34126,10489.2,30.73668171,5/3/2020
Spain,3/5/2020,b,90,15233.6,4911.2,32.23926058,5/3/2020
Spain,3/5/2020,b,100,733.6,238.7,32.53816794,5/3/2020
Spain,4/4/2020,b,0,427.2,3.9,0.912921348,4/4/2020
Spain,4/4/2020,b,10,726,2,0.275482094,4/4/2020
Spain,4/4/2020,b,20,6833.9,17.7,0.259002912,4/4/2020
Spain,4/4/2020,b,30,12940.4,49,0.378659083,4/4/2020
Spain,4/4/2020,b,40,19867,127.5,0.641767756,4/4/2020
Spain,4/4/2020,b,50,24579.8,360.9,1.468278831,4/4/2020
Spain,4/4/2020,b,60,22177.8,1120,5.05009514,4/4/2020
Spain,4/4/2020,b,70,21236.7,3546.3,16.69892215,4/4/2020
Spain,4/4/2020,b,80,16609.1,5276.3,31.76752503,4/4/2020
Spain,4/4/2020,b,90,5176.1,1849.1,35.7238075,4/4/2020
Spain,4/4/2020,b,100,185,65.3,35.2972973,4/4/2020
Spain,4/5/2020,b,0,740.4,3,0.405186386,5/4/2020
Spain,4/5/2020,b,10,1334.7,7.5,0.561924028,5/4/2020
Spain,4/5/2020,b,20,12178.6,32.8,0.269324881,5/4/2020
Spain,4/5/2020,b,30,20570.1,84.9,0.412734989,5/4/2020
Spain,4/5/2020,b,40,31936.3,272.7,0.853887269,5/4/2020
Spain,4/5/2020,b,50,39160.5,844.9,2.157531186,5/4/2020
Spain,4/5/2020,b,60,32132.1,2266.4,7.053382754,5/4/2020
Spain,4/5/2020,b,70,30950.5,6344.8,20.49983037,5/4/2020
Spain,4/5/2020,b,80,34287.2,10563.2,30.80799832,5/4/2020
Spain,4/5/2020,b,90,15301.3,4952.1,32.36391679,5/4/2020
Spain,4/5/2020,b,100,737.4,240.8,32.65527529,5/4/2020
Spain,5/4/2020,b,0,382.8,2.6,0.679205852,4/5/2020
Spain,5/4/2020,b,10,751.8,2.6,0.345836659,4/5/2020
Spain,5/4/2020,b,20,7087.7,15.9,0.224332294,4/5/2020
