"","iso_code","continent","location","date","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"102","ZWE","Africa","Zimbabwe","6/30/2020",574,7,7,1,38.62,0.471,0.471,0.067,NA,NA,NA,NA,NA,NA,"",NA,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49
"206","ZMB","Africa","Zambia","6/30/2020",1568,11,22,0,85.292,0.598,1.197,0,NA,NA,NA,NA,NA,NA,"",NA,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89
"288","YEM","Asia","Yemen","6/30/2020",1128,10,304,2,37.819,0.335,10.192,0.067,NA,NA,NA,NA,NA,NA,"",NA,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12
"470","OWID_WRL","","World","6/30/2020",10273424,159962,505309,3712,1317.985,20.522,64.826,0.476,NA,NA,NA,NA,NA,NA,"",NA,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58
"536","ESH","Africa","Western Sahara","6/30/2020",208,0,1,0,348.216,0,1.674,0,NA,NA,NA,NA,NA,NA,"",NA,597330,NA,28.4,NA,1.38,NA,NA,NA,NA,NA,NA,NA,NA,70.26
"718","VNM","Asia","Vietnam","6/30/2020",355,0,0,0,3.647,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4
"825","VEN","South America","Venezuela","6/30/2020",5530,233,48,4,194.472,8.194,1.688,0.141,NA,NA,NA,NA,NA,NA,"",NA,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06
"933","VAT","Europe","Vatican","6/30/2020",12,0,0,0,14833.127,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.12
"1040","UZB","Asia","Uzbekistan","6/30/2020",8298,267,24,2,247.929,7.977,0.717,0.06,NA,NA,NA,NA,NA,NA,"",NA,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72
"1148","URY","South America","Uruguay","6/30/2020",932,3,27,0,268.3,0.864,7.773,0,NA,NA,NA,NA,NA,NA,"",NA,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91
"1246","VIR","North America","United States Virgin Islands","6/30/2020",84,3,6,0,804.42,28.729,57.459,0,NA,NA,NA,NA,NA,NA,"",NA,104423,306.48,42.2,18.601,10.799,NA,NA,273.67,12.26,NA,NA,NA,NA,80.58
"1428","USA","North America","United States","6/30/2020",2590552,41556,126140,336,7826.379,125.546,381.085,1.015,NA,NA,NA,NA,NA,NA,"",NA,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86
"1610","GBR","Europe","United Kingdom","6/30/2020",311965,814,43575,25,4595.424,11.991,641.885,0.368,NA,NA,NA,NA,NA,NA,"",NA,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32
"1786","ARE","Asia","United Arab Emirates","6/30/2020",48246,449,314,1,4878.064,45.398,31.748,0.101,NA,NA,NA,NA,NA,NA,"",NA,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97
"1895","UKR","Europe","Ukraine","6/30/2020",43628,646,1147,18,997.582,14.771,26.227,0.412,NA,NA,NA,NA,NA,NA,"",NA,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06
"1996","UGA","Africa","Uganda","6/30/2020",870,11,0,0,19.02,0.24,0,0,NA,NA,NA,NA,NA,NA,"",NA,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37
"2094","TCA","North America","Turks and Caicos Islands","6/30/2020",41,13,1,0,1058.939,335.761,25.828,0,NA,NA,NA,NA,NA,NA,"",NA,38718,37.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.22
"2203","TUR","Asia","Turkey","6/30/2020",198613,1374,5115,18,2354.935,16.291,60.648,0.213,NA,NA,NA,NA,NA,NA,"",NA,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69
"2324","TUN","Africa","Tunisia","6/30/2020",1172,3,50,0,99.166,0.254,4.231,0,NA,NA,NA,NA,NA,NA,"",NA,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7
"2434","TTO","North America","Trinidad and Tobago","6/30/2020",126,0,8,0,90.033,0,5.716,0,NA,NA,NA,NA,NA,NA,"",NA,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51
"2543","TGO","Africa","Togo","6/30/2020",643,1,14,0,77.669,0.121,1.691,0,NA,NA,NA,NA,NA,NA,"",NA,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04
"2644","TLS","Asia","Timor","6/30/2020",24,0,0,0,18.203,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5
