iso_code,continent,location,RS,GHSI,WGI,Day,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,filter_$
AFG,Asia,Afghanistan,38,32.3,-1.46,112,2020-07-01,31517,279,746,13,809.616,7.167,19.163,.334, , , , , , , , ,38928341,54.422,18.6,2.581,1.337,1803.987, ,597.029,9.59, , ,37.746,.5,64.83,1
ALB,Europe,Albania,62,52.9,.11,98,2020-07-01,2535,69,62,4,880.881,23.977,21.544,1.39, , , , , , , , ,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2, ,2.89,78.57,1
DZA,Africa,Algeria,0,23.6,-.44,115,2020-07-01,13907,336,912,7,317.142,7.662,20.798,.16, , , , , , , , ,43851043,17.348,29.1,6.211,3.857,13913.839,.5,278.364,6.73,.7,30.4,83.741,1.9,76.88,1
AND,Europe,Andorra,0,30.5,1.94,104,2020-07-01,855,0,52,0,11065.812,0,673.008,0, , , , , , , , ,77265,163.755, , , , , ,109.135,7.97,29,37.8, , ,83.73,1
AGO,Africa,Angola,0,25.2,-1.05,85,2020-07-01,284,8,13,2,8.641,.243,.396,.061, , , , , , , , ,32866268,23.89,16.8,2.405,1.362,5819.495, ,276.045,3.94, , ,26.664, ,61.15,1
AIA,North America,Anguilla, ,25.2,.83,80,2020-07-01,3,0,0,0,199.973,0,0,0, , , , , , , , ,15002, , , , , , , , , , , , ,81.88,1
ATG,North America,Antigua and Barbuda,0,29,-.01,96,2020-07-01,66,0,3,0,673.965,0,30.635,0, , , , , , , , ,97928,231.845,32.1,6.933,4.631,21490.943, ,191.511,13.17, , , ,3.8,77.02,1
ARG,South America,Argentina,0,58.6,.03,103,2020-07-01,64517,2262,1307,27,1427.501,50.049,28.919,.597, , , , , , , , ,45195777,16.177,31.9,11.198,7.441,18933.907,.6,191.032,5.5,16.2,27.7, ,5,76.67,1
ARM,Asia,Armenia,90,50.2,-.02,105,2020-07-01,25542,415,443,10,8619.637,140.05,149.499,3.375, , , , , , , , ,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,1
AUS,Oceania,Australia,92,75.5,1.6,141,2020-07-01,7834,67,104,0,307.217,2.627,4.078,0, , , , , , , , ,25499881,3.202,37.9,15.504,10.129,44648.71,.5,107.791,5.07,13,16.5, ,3.84,83.44,1
AUT,Europe,Austria,0,58.5,1.45,111,2020-07-01,17777,111,705,2,1973.819,12.325,78.278,.222, , , , , , , , ,9006400,106.749,44.4,19.202,13.748,45436.686,.7,145.183,6.35,28.4,30.9, ,7.37,81.54,1
AZE,Asia,Azerbaijan,0,34.2,-.1,108,2020-07-01,17524,556,213,7,1728.346,54.837,21.008,.69, , , , , , , , ,10139175,119.309,32.4,6.018,3.871,15847.419, ,559.812,7.11,.3,42.5,83.241,4.7,73,1
BHS,North America,Bahamas,0,30.6,.54,91,2020-07-01,104,0,11,0,264.464,0,27.972,0, , , , , , , , ,393248,39.497,34.3,8.996,5.2,27717.847, ,235.954,13.17,3.1,20.4, ,2.9,73.92,1
BHR,Asia,Bahrain,80,39.4,.18,115,2020-07-01,26758,519,87,3,15725.357,305.01,51.129,1.763, , , , , , , , ,1701583,1935.907,32.4,2.372,1.387,43290.705, ,151.689,16.52,5.8,37.6, ,2,77.29,1
BGD,Asia,Bangladesh,50,35,-.75,98,2020-07-01,145483,3682,1847,64,883.378,22.357,11.215,.389, , , , , , , , ,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,.8,72.59,1
BRB,North America,Barbados,0,31.9,.43,89,2020-07-01,97,0,7,0,337.543,0,24.359,0, , , , , , , , ,287371,664.463,39.8,14.952,9.473,16978.068, ,170.05,13.57,1.9,14.5,88.469,5.8,79.19,1
BLR,Europe,Belarus,0,35.3,-.3,108,2020-07-01,62118,328,392,5,6573.806,34.711,41.484,.529, , , , , , , , ,9449321,46.858,40.3,14.799,9.788,17167.967, ,443.129,5.18,10.5,46.1, ,11,74.79,1
BEL,Europe,Belgium,85,61,1.17,132,2020-07-01,61509,82,9754,2,5307.251,7.075,841.615,.173, , , , , , , , ,11589616,375.564,41.8,18.571,12.849,42658.576,.2,114.898,4.29,25.1,31.4, ,5.64,81.63,1
BLZ,North America,Belize,0,31.8,-.59,59,2020-07-01,28,4,2,0,70.419,10.06,5.03,0, , , , , , , , ,397621,16.426,25,3.853,2.279,7824.362, ,176.957,17.11, , ,90.083,1.3,74.62,1
