iso_code,continent,location,RS,GHSI,WGI,Day,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,population_density,aged_65_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
AFG,Asia,Afghanistan,38,32.3,-1.46,97,2020-06-15,24766,664,471,20,636.195,17.057,12.099,.514, , , , , , , ,54.422,2.581,1803.987, ,597.029,9.59, , ,37.746,.5,64.83
ALB,Europe,Albania,62,52.9,.11,83,2020-06-15,1521,57,36,0,528.529,19.807,12.51,0, , , , , , , ,104.871,13.188,11803.431,1.1,304.195,10.08,7.1,51.2, ,2.89,78.57
DZA,Africa,Algeria,0,23.6,-.44,100,2020-06-15,10919,109,767,7,249.002,2.486,17.491,.16, , , , , , , ,17.348,6.211,13913.839,.5,278.364,6.73,.7,30.4,83.741,1.9,76.88
AND,Europe,Andorra,0,30.5,1.94,89,2020-06-15,853,0,51,0,11039.928,0,660.066,0, , , , , , , ,163.755, , , ,109.135,7.97,29,37.8, , ,83.73
AGO,Africa,Angola,0,25.2,-1.05,70,2020-06-15,140,2,6,0,4.26,.061,.183,0, , , , , , , ,23.89,2.405,5819.495, ,276.045,3.94, , ,26.664, ,61.15
AIA,North America,Anguilla, ,25.2,.83,65,2020-06-15,3,0,0,0,199.973,0,0,0, , , , , , , , , , , , , , , , , ,81.88
ATG,North America,Antigua and Barbuda,0,29,-.01,81,2020-06-15,26,0,3,0,265.501,0,30.635,0, , , , , , , ,231.845,6.933,21490.943, ,191.511,13.17, , , ,3.8,77.02
ARG,South America,Argentina,0,58.6,.03,88,2020-06-15,31564,1282,833,18,698.384,28.365,18.431,.398,239941,5571,5.309,.123,5917,.131,tests performed,16.177,11.198,18933.907,.6,191.032,5.5,16.2,27.7, ,5,76.67
ARM,Asia,Armenia,90,50.2,-.02,90,2020-06-15,16667,663,269,5,5624.598,223.742,90.779,1.687, , , , , , , ,102.931,11.232,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09
AUS,Oceania,Australia,92,75.5,1.6,126,2020-06-15,7320,18,102,0,287.06,.706,4,0,1828149,15796,71.692,.619,27805,1.09,tests performed,3.202,15.504,44648.71,.5,107.791,5.07,13,16.5, ,3.84,83.44
AUT,Europe,Austria,0,58.5,1.45,96,2020-06-15,17038,24,677,0,1891.766,2.665,75.169,0,527670,2830,58.588,.314,4701,.522,tests performed,106.749,19.202,45436.686,.7,145.183,6.35,28.4,30.9, ,7.37,81.54
AZE,Asia,Azerbaijan,0,34.2,-.1,93,2020-06-15,9957,387,119,4,982.033,38.169,11.737,.395, , , , , , , ,119.309,6.018,15847.419, ,559.812,7.11,.3,42.5,83.241,4.7,73
BHS,North America,Bahamas,0,30.6,.54,76,2020-06-15,103,0,11,0,261.921,0,27.972,0, , , , , , , ,39.497,8.996,27717.847, ,235.954,13.17,3.1,20.4, ,2.9,73.92
BHR,Asia,Bahrain,80,39.4,.18,100,2020-06-15,18227,0,43,4,10711.79,0,25.271,2.351,425192,6779,249.88,3.984,7261,4.267,units unclear,1935.907,2.372,43290.705, ,151.689,16.52,5.8,37.6, ,2,77.29
BGD,Asia,Bangladesh,50,35,-.75,83,2020-06-15,87520,3141,1171,32,531.425,19.072,7.11,.194,519503,15038,3.154,.091,15510,.094,samples tested,1265.036,5.098,3523.984,14.8,298.003,8.38,1,44.7,34.808,.8,72.59
BRB,North America,Barbados,0,31.9,.43,74,2020-06-15,96,0,7,0,334.063,0,24.359,0, , , , , , , ,664.463,14.952,16978.068, ,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BLR,Europe,Belarus,0,35.3,-.3,93,2020-06-15,53973,732,308,5,5711.839,77.466,32.595,.529,749917, ,79.362, ,16703,1.768,tests performed,46.858,14.799,17167.967, ,443.129,5.18,10.5,46.1, ,11,74.79
BEL,Europe,Belgium,85,61,1.17,117,2020-06-15,60029,111,9655,5,5179.55,9.578,833.073,.431,830483,8653,71.658,.747,9201,.794,units unclear,375.564,18.571,42658.576,.2,114.898,4.29,25.1,31.4, ,5.64,81.63
BLZ,North America,Belize,0,31.8,-.59,44,2020-06-15,21,1,2,0,52.814,2.515,5.03,0, , , , , , , ,16.426,3.853,7824.362, ,176.957,17.11, , ,90.083,1.3,74.62
BEN,Africa,Benin,34,28.8,-.57,75,2020-06-15,470,58,7,1,38.769,4.784,.577,.082, , , , , , , ,99.11,3.244,2064.236,49.6,235.848,.99,.6,12.3,11.035,.5,61.77
BTN,Asia,Bhutan,44,40.3,.36,85,2020-06-15,66,0,0,0,85.535,0,0,0, , , , , , , ,21.188,4.885,8708.597,1.5,217.066,9.75, , ,79.807,1.7,71.78
