iso_code,Con,location,TD,Tdlog,TdT,TdTlog
DZA,Africa,Algeria,20.638,3.027134037,458.58,6.128134758
AGO,Africa,Angola,0.335,-1.093624747,458.58,6.128134758
BEN,Africa,Benin,1.567,0.449162963,458.58,6.128134758
BWA,Africa,Botswana,0.425,-0.85566611,458.58,6.128134758
BFA,Africa,Burkina Faso,2.535,0.930193637,458.58,6.128134758
BDI,Africa,Burundi,0.084,-2.47693848,458.58,6.128134758
CMR,Africa,Cameroon,11.791,2.467336529,458.58,6.128134758
CPV,Africa,Cape Verde,21.583,3.071905968,458.58,6.128134758
CAF,Africa,Central African Republic,9.731,2.275316666,458.58,6.128134758
TCD,Africa,Chad,4.505,1.505187891,458.58,6.128134758
COM,Africa,Comoros,8.05,2.085672091,458.58,6.128134758
COG,Africa,Congo,7.249,1.980863528,458.58,6.128134758
CIV,Africa,Cote d'Ivoire,2.502,0.917090412,458.58,6.128134758
COD,Africa,Democratic Republic of Congo,1.865,0.623261053,458.58,6.128134758
DJI,Africa,Djibouti,53.644,3.982369627,458.58,6.128134758
EGY,Africa,Egypt,28.065,3.334523248,458.58,6.128134758
GNQ,Africa,Equatorial Guinea,22.809,3.127155195,458.58,6.128134758
ERI,Africa,Eritrea,0,0,458.58,6.128134758
ETH,Africa,Ethiopia,0.896,-0.109814866,458.58,6.128134758
GAB,Africa,Gabon,18.87,2.937573359,458.58,6.128134758
GMB,Africa,Gambia,0.828,-0.188742125,458.58,6.128134758
GHA,Africa,Ghana,3.604,1.28204434,458.58,6.128134758
GIN,Africa,Guinea,2.361,0.859085258,458.58,6.128134758
GNB,Africa,Guinea-Bissau,10.671,2.367529782,458.58,6.128134758
KEN,Africa,Kenya,2.678,0.985070247,458.58,6.128134758
LSO,Africa,Lesotho,0,0,458.58,6.128134758
LBR,Africa,Liberia,7.118,1.962626787,458.58,6.128134758
LBY,Africa,Libya,3.056,1.117106871,458.58,6.128134758
MDG,Africa,Madagascar,0.722,-0.32573014,458.58,6.128134758
MWI,Africa,Malawi,0.732,-0.311974765,458.58,6.128134758
MLI,Africa,Mali,5.679,1.736775161,458.58,6.128134758
MRT,Africa,Mauritania,27.099,3.299496827,458.58,6.128134758
MUS,Africa,Mauritius,7.863,2.062168213,458.58,6.128134758
MAR,Africa,Morocco,6.096,1.807632818,458.58,6.128134758
MOZ,Africa,Mozambique,0.192,-1.650259907,458.58,6.128134758
NAM,Africa,Namibia,0,0,458.58,6.128134758
NER,Africa,Niger,2.768,1.018125038,458.58,6.128134758
NGA,Africa,Nigeria,2.78,1.022450928,458.58,6.128134758
RWA,Africa,Rwanda,0.154,-1.870802677,458.58,6.128134758
STP,Africa,Sao Tome and Principe,59.317,4.082895943,458.58,6.128134758
SEN,Africa,Senegal,6.45,1.864080131,458.58,6.128134758
SYC,Africa,Seychelles,0,0,458.58,6.128134758
SLE,Africa,Sierra Leone,7.522,2.01783206,458.58,6.128134758
SOM,Africa,Somalia,5.663,1.733953787,458.58,6.128134758
ZAF,Africa,South Africa,42.641,3.752816232,458.58,6.128134758
SSD,Africa,South Sudan,3.305,1.195436473,458.58,6.128134758
SDN,Africa,Sudan,13.045,2.568404919,458.58,6.128134758
SWZ,Africa,Swaziland,9.481,2.249289796,458.58,6.128134758
TZA,Africa,Tanzania,0.352,-1.044124103,458.58,6.128134758
TGO,Africa,Togo,1.691,0.52532007,458.58,6.128134758
TUN,Africa,Tunisia,4.231,1.442438372,458.58,6.128134758
UGA,Africa,Uganda,0,0,458.58,6.128134758
ESH,Africa,Western Sahara,1.674,0.515215972,458.58,6.128134758
ZMB,Africa,Zambia,1.197,0.179818427,458.58,6.128134758
ZWE,Africa,Zimbabwe,0.471,-0.752897185,458.58,6.128134758
AFG,Asia,Afghanistan,18.829,2.935398235,896.91,6.798955523
ARM,Asia,Armenia,146.124,4.984455576,896.91,6.798955523
AZE,Asia,Azerbaijan,20.317,3.011457974,896.91,6.798955523
BHR,Asia,Bahrain,49.366,3.899261928,896.91,6.798955523
BGD,Asia,Bangladesh,10.826,2.381950648,896.91,6.798955523
BTN,Asia,Bhutan,0,0,896.91,6.798955523
BRN,Asia,Brunei,6.857,1.925270028,896.91,6.798955523
KHM,Asia,Cambodia,0,0,896.91,6.798955523
CHN,Asia,China,3.224,1.170622825,896.91,6.798955523
GEO,Asia,Georgia,3.76,1.324418957,896.91,6.798955523
IND,Asia,India,12.241,2.504790973,896.91,6.798955523
IDN,Asia,Indonesia,10.255,2.327765392,896.91,6.798955523
IRN,Asia,Iran,127.034,4.844454767,896.91,6.798955523
IRQ,Asia,Iraq,45.721,3.822557711,896.91,6.798955523
ISR,Asia,Israel,36.855,3.606991295,896.91,6.798955523
JPN,Asia,Japan,7.685,2.039270377,896.91,6.798955523
JOR,Asia,Jordan,0.882,-0.125563223,896.91,6.798955523
KAZ,Asia,Kazakhstan,10.012,2.303784374,896.91,6.798955523
KWT,Asia,Kuwait,81.956,4.406182518,896.91,6.798955523
KGZ,Asia,Kyrgyzstan,8.737,2.167566881,896.91,6.798955523
LAO,Asia,Laos,0,0,896.91,6.798955523
LBN,Asia,Lebanon,4.981,1.605630674,896.91,6.798955523
MYS,Asia,Malaysia,3.738,1.318550709,896.91,6.798955523
MDV,Asia,Maldives,14.8,2.694627181,896.91,6.798955523
MNG,Asia,Mongolia,0,0,896.91,6.798955523
MMR,Asia,Myanmar,0.11,-2.207274913,896.91,6.798955523
NPL,Asia,Nepal,0.995,-0.005012542,896.91,6.798955523
OMN,Asia,Oman,33.094,3.499351997,896.91,6.798955523
PAK,Asia,Pakistan,19.485,2.969644939,896.91,6.798955523
PSE,Asia,Palestine,1.568,0.449800922,896.91,6.798955523
PHL,Asia,Philippines,11.453,2.438251704,896.91,6.798955523
QAT,Asia,Qatar,39.222,3.669237814,896.91,6.798955523
SAU,Asia,Saudi Arabia,45.93,3.827118498,896.91,6.798955523
SGP,Asia,Singapore,4.444,1.491554872,896.91,6.798955523
KOR,Asia,South Korea,5.5,1.704748092,896.91,6.798955523
LKA,Asia,Sri Lanka,0.514,-0.665532014,896.91,6.798955523
SYR,Asia,Syria,0.514,-0.665532014,896.91,6.798955523
TWN,Asia,Taiwan,0.294,-1.224175512,896.91,6.798955523
TJK,Asia,Tajikistan,5.452,1.695982514,896.91,6.798955523
THA,Asia,Thailand,0.831,-0.185125484,896.91,6.798955523
TLS,Asia,Timor,0,0,896.91,6.798955523
TUR,Asia,Turkey,60.648,4.105086659,896.91,6.798955523
ARE,Asia,United Arab Emirates,31.748,3.457829731,896.91,6.798955523
UZB,Asia,Uzbekistan,0.717,-0.332679438,896.91,6.798955523
VNM,Asia,Vietnam,0,0,896.91,6.798955523
YEM,Asia,Yemen,10.192,2.321603099,896.91,6.798955523
ALB,Europe,Albania,20.154,3.00340278,9204.29,9.127424959
AND,Europe,Andorra,673.008,6.511757217,9204.29,9.127424959
AUT,Europe,Austria,78.056,4.357426518,9204.29,9.127424959
BLR,Europe,Belarus,40.955,3.712473903,9204.29,9.127424959
BEL,Europe,Belgium,841.443,6.735118275,9204.29,9.127424959
BIH,Europe,Bosnia and Herzegovina,55.779,4.021397454,9204.29,9.127424959
BGR,Europe,Bulgaria,32.094,3.468669097,9204.29,9.127424959
HRV,Europe,Croatia,26.064,3.260555052,9204.29,9.127424959
CYP,Europe,Cyprus,21.692,3.076943529,9204.29,9.127424959
CZE,Europe,Czech Republic,32.496,3.481117005,9204.29,9.127424959
DNK,Europe,Denmark,104.451,4.648718062,9204.29,9.127424959
EST,Europe,Estonia,52.015,3.951532139,9204.29,9.127424959
FRO,Europe,Faeroe Islands,0,0,9204.29,9.127424959
FIN,Europe,Finland,59.198,4.080887758,9204.29,9.127424959
FRA,Europe,France,456.74,6.124114301,9204.29,9.127424959
DEU,Europe,Germany,107.097,4.673734966,9204.29,9.127424959
GIB,Europe,Gibraltar,0,0,9204.29,9.127424959
GRC,Europe,Greece,18.325,2.908266248,9204.29,9.127424959
GGY,Europe,Guernsey,193.879,5.267234253,9204.29,9.127424959
HUN,Europe,Hungary,60.557,4.10358507,9204.29,9.127424959
ISL,Europe,Iceland,29.304,3.377724025,9204.29,9.127424959
IRL,Europe,Ireland,351.371,5.861842645,9204.29,9.127424959
IMN,Europe,Isle of Man,282.247,5.642782574,9204.29,9.127424959
ITA,Europe,Italy,574.644,6.353750719,9204.29,9.127424959
JEY,Europe,Jersey,306.709,5.725899415,9204.29,9.127424959
OWID_KOS,Europe,Kosovo,25.352,3.232857622,9204.29,9.127424959
LVA,Europe,Latvia,15.905,2.766633525,9204.29,9.127424959
LIE,Europe,Liechtenstein,26.221,3.266560616,9204.29,9.127424959
LTU,Europe,Lithuania,28.652,3.355223249,9204.29,9.127424959
LUX,Europe,Luxembourg,175.726,5.168925964,9204.29,9.127424959
MKD,Europe,Macedonia,143.037,4.963103338,9204.29,9.127424959
MLT,Europe,Malta,20.383,3.01470122,9204.29,9.127424959
MDA,Europe,Moldova,132.872,4.889386259,9204.29,9.127424959
MCO,Europe,Monaco,127.408,4.847394536,9204.29,9.127424959
MNE,Europe,Montenegro,17.514,2.863000561,9204.29,9.127424959
NLD,Europe,Netherlands,356.408,5.876076142,9204.29,9.127424959
NOR,Europe,Norway,45.93,3.827118498,9204.29,9.127424959
POL,Europe,Poland,38.154,3.641630602,9204.29,9.127424959
PRT,Europe,Portugal,153.775,5.035490495,9204.29,9.127424959
ROU,Europe,Romania,84.937,4.441909805,9204.29,9.127424959
RUS,Europe,Russia,62.809,4.140098375,9204.29,9.127424959
SMR,Europe,San Marino,1237.551,7.120889706,9204.29,9.127424959
SRB,Europe,Serbia,40.267,3.695532275,9204.29,9.127424959
SVK,Europe,Slovakia,5.129,1.634910708,9204.29,9.127424959
SVN,Europe,Slovenia,53.393,3.977679651,9204.29,9.127424959
ESP,Europe,Spain,606.462,6.407642072,9204.29,9.127424959
SWE,Europe,Sweden,525.781,6.264884776,9204.29,9.127424959
CHE,Europe,Switzerland,194.232,5.269053321,9204.29,9.127424959
UKR,Europe,Ukraine,26.227,3.266789414,9204.29,9.127424959
GBR,Europe,United Kingdom,641.885,6.46440916,9204.29,9.127424959
VAT,Europe,Vatican,0,0,9204.29,9.127424959
AIA,North America,Anguilla,0,0,2187.17,7.69036375
ATG,North America,Antigua and Barbuda,30.635,3.422143146,2187.17,7.69036375
ABW,North America,Aruba,28.099,3.335733989,2187.17,7.69036375
BHS,North America,Bahamas,27.972,3.33120401,2187.17,7.69036375
BRB,North America,Barbados,24.359,3.192901391,2187.17,7.69036375
BLZ,North America,Belize,5.03,1.615419984,2187.17,7.69036375
BMU,North America,Bermuda,144.525,4.973452503,2187.17,7.69036375
BES,North America,Bonaire Sint Eustatius and Saba,0,0,2187.17,7.69036375
VGB,North America,British Virgin Islands,33.072,3.498687003,2187.17,7.69036375
CAN,North America,Canada,226.961,5.424778197,2187.17,7.69036375
CYM,North America,Cayman Islands,15.216,2.722347506,2187.17,7.69036375
CRI,North America,Costa Rica,2.945,1.080108817,2187.17,7.69036375
CUB,North America,Cuba,7.593,2.02722677,2187.17,7.69036375
CUW,North America,Curacao,6.094,1.807304681,2187.17,7.69036375
DMA,North America,Dominica,0,0,2187.17,7.69036375
DOM,North America,Dominican Republic,67.571,4.213178897,2187.17,7.69036375
SLV,North America,El Salvador,25.284,3.230171785,2187.17,7.69036375
GRL,North America,Greenland,0,0,2187.17,7.69036375
GRD,North America,Grenada,0,0,2187.17,7.69036375
GTM,North America,Guatemala,41.64,3.729061244,2187.17,7.69036375
HTI,North America,Haiti,9.208,2.220072671,2187.17,7.69036375
HND,North America,Honduras,48.967,3.891146602,2187.17,7.69036375
JAM,North America,Jamaica,3.377,1.216987741,2187.17,7.69036375
MEX,North America,Mexico,210.35,5.34877281,2187.17,7.69036375
MSR,North America,Montserrat,200.04,5.298517347,2187.17,7.69036375
NIC,North America,Nicaragua,11.171,2.413321135,2187.17,7.69036375
PAN,North America,Panama,143.693,4.967679079,2187.17,7.69036375
PRI,North America,Puerto Rico,53.481,3.979326451,2187.17,7.69036375
KNA,North America,Saint Kitts and Nevis,0,0,2187.17,7.69036375
LCA,North America,Saint Lucia,0,0,2187.17,7.69036375
VCT,North America,Saint Vincent and the Grenadines,0,0,2187.17,7.69036375
SXM,North America,Sint Maarten (Dutch part),349.797,5.857352986,2187.17,7.69036375
TTO,North America,Trinidad and Tobago,5.716,1.74326926,2187.17,7.69036375
TCA,North America,Turks and Caicos Islands,25.828,3.251459175,2187.17,7.69036375
USA,North America,United States,381.085,5.943022447,2187.17,7.69036375
VIR,North America,United States Virgin Islands,57.459,4.05107165,2187.17,7.69036375
AUS,Oceania,Australia,4.078,1.405606672,73.01,4.290596418
FJI,Oceania,Fiji,0,0,73.01,4.290596418
PYF,Oceania,French Polynesia,0,0,73.01,4.290596418
GUM,Oceania,Guam,29.624,3.388584844,73.01,4.290596418
NCL,Oceania,New Caledonia,0,0,73.01,4.290596418
NZL,Oceania,New Zealand,4.562,1.517761124,73.01,4.290596418
MNP,Oceania,Northern Mariana Islands,34.748,3.548122016,73.01,4.290596418
PNG,Oceania,Papua New Guinea,0,0,73.01,4.290596418
ARG,South America,Argentina,28.321,3.343603579,1341.93,7.201864155
BOL,South America,Bolivia,91.75,4.519067487,1341.93,7.201864155
BRA,South America,Brazil,274.342,5.614375503,1341.93,7.201864155
CHL,South America,Chile,291.637,5.675509878,1341.93,7.201864155
COL,South America,Colombia,63.342,4.148548616,1341.93,7.201864155
ECU,South America,Ecuador,255.171,5.541933909,1341.93,7.201864155
FLK,South America,Falkland Islands,0,0,1341.93,7.201864155
GUY,South America,Guyana,15.256,2.724972868,1341.93,7.201864155
PRY,South America,Paraguay,2.243,0.807814256,1341.93,7.201864155
PER,South America,Peru,288.246,5.663814282,1341.93,7.201864155
SUR,South America,Suriname,22.16,3.098288862,1341.93,7.201864155
URY,South America,Uruguay,7.773,2.05065619,1341.93,7.201864155
VEN,South America,Venezuela,1.688,0.523544396,1341.93,7.201864155
