week,CFR_mean,Country
10,0.779487179,AFRO
11,2.203862601,AFRO
12,7.348393792,AFRO
13,7.022284305,AFRO
14,7.148695425,AFRO
15,6.109944004,AFRO
16,5.124525899,AFRO
17,4.519357807,AFRO
18,4.441269991,AFRO
19,4.155643428,AFRO
20,3.539096118,AFRO
21,3.12414479,AFRO
22,2.761627162,AFRO
23,2.618104594,AFRO
24,2.547464041,AFRO
25,2.575607174,AFRO
26,2.673560105,AFRO
10,6.258749476,EMRO
11,13.44237851,EMRO
12,5.820082938,EMRO
13,4.686800423,EMRO
14,3.766332223,EMRO
15,3.541071959,EMRO
16,3.191666161,EMRO
17,3.029130144,EMRO
18,3.584255218,EMRO
19,3.406840238,EMRO
20,3.064426074,EMRO
21,2.98243458,EMRO
22,3.157164742,EMRO
23,3.073731872,EMRO
24,3.101847569,EMRO
25,3.263849217,EMRO
26,4.776921308,EMRO
10,0.938551685,EURO
11,1.457509876,EURO
12,1.860626844,EURO
13,2.496306136,EURO
14,3.342628245,EURO
15,3.862828365,EURO
16,4.294005376,EURO
17,4.640215595,EURO
18,4.839135899,EURO
19,4.985060943,EURO
20,5.067917815,EURO
21,5.083766,EURO
22,5.07408715,EURO
23,5.032577148,EURO
24,4.958623995,EURO
25,4.90097645,EURO
26,5.628683203,EURO
10,8.633756214,PAHO
11,6.79657303,PAHO
12,3.411601807,PAHO
13,4.377119937,PAHO
14,5.833869925,PAHO
15,5.876272498,PAHO
16,6.186424113,PAHO
17,6.503077137,PAHO
18,6.631558921,PAHO
19,6.413890525,PAHO
20,6.046327868,PAHO
21,5.071525772,PAHO
22,4.743608219,PAHO
23,4.638079641,PAHO
24,4.546644198,PAHO
25,4.357571286,PAHO
26,4.618200581,PAHO
10,2.600508773,SEARO
11,2.800633354,SEARO
12,5.23592617,SEARO
13,4.890300506,SEARO
14,5.424088057,SEARO
15,4.72259059,SEARO
16,3.845885686,SEARO
17,3.233394129,SEARO
18,2.74256948,SEARO
19,2.576136011,SEARO
20,2.213422191,SEARO
21,2.090624211,SEARO
22,2.003971082,SEARO
23,1.942272525,SEARO
24,1.911654429,SEARO
25,1.847022701,SEARO
26,1.654019393,SEARO
10,3.153905529,WPRO
11,2.835608824,WPRO
12,2.266546127,WPRO
13,1.770259924,WPRO
14,1.762275803,WPRO
15,2.02845208,WPRO
16,2.273091699,WPRO
17,2.422759927,WPRO
18,2.506243882,WPRO
19,2.585745899,WPRO
20,2.628865874,WPRO
21,2.652976541,WPRO
22,2.608333401,WPRO
23,2.535808184,WPRO
24,2.535139931,WPRO
25,2.523998357,WPRO
26,2.481906498,WPRO
10,0.24,WORLD
11,2.43,WORLD
12,2.28,WORLD
13,2.38,WORLD
14,2.05,WORLD
15,2.28,WORLD
16,2.7,WORLD
17,3.35,WORLD
18,5.31,WORLD
19,5.28,WORLD
20,5.34,WORLD
21,5.41,WORLD
22,5.58,WORLD
23,5.9,WORLD
24,6.13,WORLD
25,6.26,WORLD
26,5.7,WORLD
