iso_code,continent,location,RS,GHSI,WGI,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,population_density,aged_65_older,gdp_per_capita,Day
AFG,Asia,Afghanistan,38,32.3,-1.46,2020-03-11,7,3,0,0,.18,.077,0,0, , , , , , , ,54.422,2.581,1803.987,16
ALB,Europe,Albania,62,52.9,.11,2020-03-11,10,4,0,0,3.475,1.39,0,0, , , , , , , ,104.871,13.188,11803.431,2
ARG,South America,Argentina,0,58.6,.03,2020-03-11,19,7,1,0,.42,.155,.022,0, , , , , , , ,16.177,11.198,18933.907,7
AUS,Oceania,Australia,92,75.5,1.6,2020-03-11,112,12,3,0,4.392,.471,.118,0, , , , , , , ,3.202,15.504,44648.71,45
AUT,Europe,Austria,0,58.5,1.45,2020-03-11,182,51,0,0,20.208,5.663,0,0,5362,336,.595,.037,318,.035,tests performed,106.749,19.202,45436.686,15
AZE,Asia,Azerbaijan,0,34.2,-.1,2020-03-11,11,2,0,0,1.085,.197,0,0, , , , , , , ,119.309,6.018,15847.419,12
BHR,Asia,Bahrain,80,39.4,.18,2020-03-11,110,1,0,0,64.646,.588,0,0,8810,456,5.178,.268, , ,units unclear,1935.907,2.372,43290.705,19
BLR,Europe,Belarus,0,35.3,-.3,2020-03-11,9,3,0,0,.952,.317,0,0, , , , ,611,.065,tests performed,46.858,14.799,17167.967,12
BEL,Europe,Belgium,85,61,1.17,2020-03-11,267,28,0,0,23.038,2.416,0,0,6087,913,.525,.079,663,.057,units unclear,375.564,18.571,42658.576,36
BRA,South America,Brazil,0,59.7,-.45,2020-03-11,34,9,0,0,.16,.042,0,0, , , , , , , ,25.04,8.552,14103.452,15
BFA,Africa,Burkina Faso,34,30.1,-.58,2020-03-11,2,2,0,0,.096,.096,0,0, , , , , , , ,70.151,2.409,1703.102,1
CAN,North America,Canada,93,75.3,1.72,2020-03-11,93,16,1,0,2.464,.424,.026,0, , , , , , , ,4.037,16.984,44017.591,48
CHL,South America,Chile,0,58.3,1.08,2020-03-11,17,4,0,0,.889,.209,0,0, , , , , , , ,24.282,11.087,22767.037,7
CHN,Asia,China,0,48.2,.48,2020-03-11,80908,29,3161,22,56.213,.02,2.196,.015, , , , , , , ,147.674,10.641,15308.712,100
